Fecha,Casos,IA14,Fallecidos
2020-03-17,11178,23.993684210526315,491
2020-03-18,13716,29.177894736842106,598
2020-03-19,17147,35.461052631578944,767
2020-03-20,19980,41.43421052631579,1002
2020-03-21,24926,50.74105263157895,1326
2020-03-22,28572,59.26947368421053,1720
2020-03-23,33089,67.96947368421053,2182
2020-03-24,39673,77.30736842105263,2696
2020-03-25,47610,91.4121052631579,3434
2020-03-26,56188,106.34894736842107,4089
2020-03-27,64059,122.94105263157896,4858
2020-03-28,72248,138.32368421052632,5690
2020-03-29,78797,151.07684210526315,6528
2020-03-30,85195,161.51736842105262,7340
2020-03-31,94417,172.36736842105265,8189
2020-04-01,102136,183.84368421052633,9053
2020-04-02,110238,192.83578947368423,10003
2020-04-03,117710,201.82842105263157,10935
2020-04-04,124736,208.09473684210528,11744
2020-04-05,130759,213.12263157894736,12418
2020-04-06,135032,213.34368421052633,13055
2020-04-07,140510,212.80263157894737,13798
2020-04-08,147206,193.8978947368421,14555
2020-04-09,152446,203.27473684210528,15238
2020-04-10,157022,193.93842105263158,15843
2020-04-11,161852,186.63052631578947,16353
2020-04-12,166019,178.67,16972
2020-04-13,169496,173.75315789473683,17489
2020-04-14,172541,161.4636842105263,18056
2020-04-15,177633,149.9442105263158,18579
2020-04-16,182816,158.6315789473684,19130
2020-04-17,188068,155.48368421052632,19478
2020-04-18,192920,155.58894736842106,20043
2020-04-19,198470,132.34473684210528,20453
2020-04-20,200442,128.8642105263158,20852
2020-04-21,204882,125.69421052631579,21282
2020-04-22,208700,121.99789473684211,21717
2020-04-23,213416,119.70894736842104,22157
2020-04-24,202990,81.58631578947367,22524
2020-04-25,205914,75.57315789473685,22902
2020-04-26,207634,70.81947368421052,23190
2020-04-27,209465,65.35105263157895,23521
2020-04-28,210773,72.54947368421053,23822
2020-04-29,212917,71.43684210526315,24275
2020-04-30,213435,63.61315789473684,24543
2020-05-01,215216,54.76157894736842,24824
2020-05-02,216582,49.143157894736845,25100
2020-05-03,217466,49.171578947368424,25264
2020-05-04,218011,42.92368421052631,25428
2020-05-05,219329,40.32684210526316,25613
2020-05-06,220325,38.16473684210526,25857
2020-05-07,221447,34.9878947368421,26070
2020-05-08,222857,32.8678947368421,26299
2020-05-09,223578,29.882631578947368,26478
2020-05-10,224390,27.592105263157894,26621
2020-05-11,227436,25.640526315789476,26744
2020-05-12,228030,24.262631578947367,27753
2020-05-13,228691,22.342105263157894,27104
2020-05-14,229540,21.05526315789474,27321
2020-05-15,230183,19.55894736842105,27459
2020-05-16,230698,18.426315789473687,27563
2020-05-17,231350,17.818421052631578,27650
2020-05-18,231606,17.502105263157897,27709
2020-05-19,232037,16.82,27778
2020-05-20,232555,15.479473684210527,27888
2020-05-21,233555,14.98263157894737,27940
2020-05-22,234824,14.47263157894737,28628
2020-05-23,235290,13.577368421052633,28678
2020-05-24,235772,12.957368421052632,28752
2020-05-25,235400,11.232105263157894,26834
2020-05-26,236259,11.671052631578947,27117
2020-05-27,236769,11.60578947368421,27118
2020-05-28,237906,11.430526315789473,27119
2020-05-29,238564,12.098947368421053,27121
2020-05-30,239228,11.979473684210527,27125
2020-05-31,239479,11.952105263157895,27127
2020-06-01,239638,11.516315789473685,27127
2020-06-02,239932,11.58,27127
2020-06-03,240326,11.043684210526317,27128
2020-06-04,240660,11.253684210526316,27133
2020-06-05,240978,10.890526315789472,27134
2020-06-06,241310,10.638421052631578,27135
2020-06-07,241550,10.693684210526316,27136
2020-06-08,241717,10.77,27136
2020-06-09,241966,10.218421052631578,27136
2020-06-10,242280,9.849473684210528,27136
2020-06-11,242707,9.041578947368421,27136
2020-06-12,243209,8.352105263157895,27136
2020-06-13,243605,7.913157894736842,27136
2020-06-14,243928,7.816315789473684,27136
2020-06-15,244109,7.714736842105264,27136
